N=232	R=0.913386	ITNum=8	addSLVA=0	slvaL=16	start_culLe_IT=8	start_slva_IT=1

Eb/No	       NTF	 NEF	       FER	       BER
2.00	       101	 101	1.000e+000	7.016e-002
2.50	       103	 100	9.709e-001	5.817e-002
3.00	       110	 100	9.091e-001	4.440e-002
3.50	       135	 100	7.407e-001	3.091e-002
4.00	       200	 100	5.000e-001	1.653e-002
4.50	       352	 100	2.841e-001	8.474e-003
5.00	       947	 100	1.056e-001	2.995e-003
5.50	      3011	 100	3.321e-002	8.732e-004
6.00	      7424	 100	1.347e-002	3.240e-004
6.50	     24989	 100	4.002e-003	8.918e-005
